epoch,loss,accuracy
902, 0.00215,30.730
903, 0.00214,30.615
904, 0.00214,31.260
905, 0.00213,31.099
906, 0.00213,31.053
907, 0.00213,30.062
908, 0.00213,30.131
909, 0.00213,31.007
910, 0.00213,30.799
911, 0.00213,31.306
912, 0.00212,30.776
913, 0.00213,30.339
914, 0.00213,30.776
915, 0.00213,30.339
916, 0.00213,30.707
917, 0.00212,30.822
918, 0.00213,30.753
919, 0.00212,31.053
920, 0.00212,30.270
921, 0.00214,30.270
922, 0.00213,30.776
923, 0.00215,30.454
924, 0.00213,30.799
925, 0.00214,29.970
926, 0.00213,30.707
927, 0.00213,30.477
928, 0.00212,31.352
929, 0.00213,31.375
930, 0.00213,30.776
931, 0.00214,30.293
932, 0.00214,30.592
933, 0.00215,30.822
934, 0.00215,30.592
935, 0.00214,30.546
936, 0.00213,30.546
937, 0.00214,30.523
938, 0.00215,31.168
939, 0.00214,30.131
940, 0.00213,30.638
941, 0.00214,30.753
942, 0.00213,30.822
943, 0.00214,30.431
944, 0.00214,30.385
945, 0.00213,30.385
946, 0.00213,30.454
947, 0.00216,30.316
948, 0.00213,30.661
949, 0.00214,30.500
950, 0.00213,30.984
951, 0.00212,30.638
952, 0.00213,30.454
953, 0.00213,31.122
954, 0.00214,30.753
955, 0.00214,31.122
956, 0.00213,30.868
957, 0.00212,30.223
958, 0.00213,30.362
959, 0.00213,30.546
960, 0.00212,30.477
961, 0.00213,30.730
962, 0.00214,30.661
963, 0.00213,31.237
964, 0.00212,30.362
965, 0.00213,30.915
966, 0.00213,31.721
967, 0.00215,31.030
968, 0.00214,30.615
969, 0.00213,31.099
970, 0.00214,30.891
971, 0.00215,31.329
972, 0.00215,30.362
973, 0.00214,30.684
974, 0.00213,31.053
975, 0.00213,30.638
976, 0.00213,30.984
977, 0.00213,30.915
978, 0.00213,30.523
979, 0.00214,31.283
980, 0.00213,30.822
981, 0.00213,30.915
982, 0.00213,30.730
983, 0.00212,31.283
984, 0.00213,30.569
